name,id
John Hurt,9314
Christopher Walken,11336
Max von Sydow,10657
Christopher Lloyd,2907
Nicolas Cage,8688
Susan Sarandon,23954
John Hurt,11837
John Carradine,11704
Christopher Plummer,4978
Harry Dean Stanton,11522
Whoopi Goldberg,33644
Danny Glover,33644
Alec Baldwin,4011
Harry Dean Stanton,22527
Robert De Niro,117
John Goodman,14577
Irving Bacon,21734
John Turturro,10220
Donald Sutherland,22256
M. Emmet Walsh,84116
Alec Baldwin,3525
Harry Dean Stanton,129628
Keith David,129628
Alec Baldwin,2321
Robin Williams,11597
Harry Dean Stanton,47947
Michael Caine,14347
Robert De Niro,5971
Bruce Willis,30815
Harvey Keitel,30815
Jackie Chan,2109
Robert De Niro,8195
Stellan Skarsgård,8195
Malcolm McDowell,14794
Keith David,1091
Whoopi Goldberg,10403
Malcolm McDowell,10403
Susan Sarandon,10403
Bruce Willis,10403
Vincent Price,162
Harvey Keitel,73351
Danny Glover,8916
Christopher Walken,8916
Steve Buscemi,28134
Steve Buscemi,28134
Robin Williams,12159
Max von Sydow,12159
Donald Pleasence,43106
John Hurt,10156
Keenan Wynn,3121
Harry Dean Stanton,9821
John Hurt,1955
Danny Glover,39437
Steve Buscemi,20701
Bruce Willis,9882
Eric Roberts,11893
Danny Trejo,11893
Eric Roberts,32081
M. Emmet Walsh,32081
Michael Caine,10002
Whoopi Goldberg,14444
Stellan Skarsgård,2042
John Turturro,8130
M. Emmet Walsh,9749
John Turturro,13698
Christopher Walken,707
Michael Caine,8545
Danny Glover,9837
Brian Cox,11545
Christopher Lloyd,15196
M. Emmet Walsh,15596
Bess Flowers,39314
Charles Lane,39314
Robin Williams,10312
Susan Sarandon,9441
Robert Duvall,9422
Willem Dafoe,31662
Donald Sutherland,9423
Vincent Price,11815
Bess Flowers,11815
Dennis Hopper,16337
Robert Duvall,274253
Whoopi Goldberg,10945
Nicolas Cage,10013
James Earl Jones,12278
John Turturro,11873
Christopher Walken,11622
Christopher Lloyd,9849
Nicolas Cage,8224
Bruce Willis,12479
Harry Dean Stanton,8769
Vincent Price,15856
Christopher Lee,7227
M. Emmet Walsh,7227
M. Emmet Walsh,1687
Michael Caine,31638
Robert De Niro,9535
Brian Cox,9455
Whoopi Goldberg,30943
Christopher Lloyd,22345
Dennis Hopper,11374
James Franco,11355
Jackie Chan,18764
Willem Dafoe,1946
Harvey Keitel,4154
Bess Flowers,3309
Dennis Hopper,18252
Liam Neeson,1893
Samuel L. Jackson,1893
John Leguizamo,95627
Christopher Lee,18990
John Carradine,29243
Bess Flowers,29243
John Carradine,30793
John Carradine,3103
Ward Bond,3077
Christopher Lee,3079
Christopher Lee,29794
Susan Sarandon,36685
Harry Dean Stanton,37305
Alec Baldwin,509
Donald Sutherland,12117
Samuel L. Jackson,14283
Whoopi Goldberg,68426
Robin Williams,68426
Steve Buscemi,9032
Stellan Skarsgård,55955
John Goodman,6488
M. Emmet Walsh,8487
John Leguizamo,10279
John Turturro,10279
Malcolm McDowell,48958
Max von Sydow,2978
Liam Neeson,11618
Samuel L. Jackson,8914
Stellan Skarsgård,8914
Frank Welker,8914
Steve Buscemi,21185
Whoopi Goldberg,873
Danny Glover,873
Gérard Depardieu,3934
Robert De Niro,11416
Liam Neeson,11416
James Earl Jones,9710
John Hurt,24081
M. Emmet Walsh,10386
Bruce Willis,745
John Turturro,91076
Christopher Walken,91076
Susan Sarandon,91076
Harry Dean Stanton,48781
Vincent Price,29056
Vincent Price,26857
Vincent Price,28501
Vincent Price,29030
Vincent Price,25319
Vincent Price,29074
Dennis Hopper,51679
John Turturro,51679
Vincent Price,35813
Max von Sydow,11963
Alec Baldwin,14578
Brian Cox,21719
Brian Cox,10390
Malcolm McDowell,9453
Liam Neeson,11527
Harvey Keitel,42848
Willem Dafoe,42848
James Earl Jones,1049
Jackie Chan,10975
Jackie Chan,10974
Robin Williams,2290
Christopher Walken,21430
Willem Dafoe,21430
Dennis Hopper,4929
Jackie Chan,11230
M. Emmet Walsh,18254
Donald Sutherland,1654
Samuel L. Jackson,8052
Bruce Willis,12220
John Leguizamo,53151
Harry Dean Stanton,404
Nicolas Cage,8649
John Goodman,8649
Michael Caine,15247
Christopher Lloyd,856
Frank Welker,856
Christopher Plummer,9008
Robert Duvall,37094
Keenan Wynn,24831
John Hurt,957
John Hurt,957
Ward Bond,37853
M. Emmet Walsh,11040
Robin Williams,11498
Susan Sarandon,21349
Irving Bacon,13485
John Wayne,9289
Bruce Willis,24226
Christopher Lloyd,11379
Nicolas Cage,2039
Christopher Walken,2668
Christopher Lee,2668
James Earl Jones,24276
John Carradine,596
Ward Bond,596
Irving Bacon,596
Bess Flowers,52470
Robert Duvall,11393
Robert De Niro,36094
Robert De Niro,9013
Robert De Niro,11005
Robin Williams,11005
Max von Sydow,11005
Robert De Niro,2924
Donald Sutherland,2924
Robin Williams,177
Danny Glover,13681
Robert De Niro,31582
Ward Bond,1718
Harvey Keitel,13787
Bruce Willis,9586
Morgan Freeman,9586
Robert Duvall,21887
Dennis Hopper,5652
Harvey Keitel,32669
John Turturro,32274
Susan Sarandon,32274
Harry Dean Stanton,497
Michael Caine,1715
Robin Williams,2277
James Earl Jones,49948
Dennis Hopper,22213
Dennis Hopper,624
Anthony Quinn,43194
Christopher Lloyd,1850
Max von Sydow,10219
Whoopi Goldberg,3558
Samuel L. Jackson,9644
Whoopi Goldberg,9644
Bruce Willis,9644
Nicolas Cage,13342
Robert De Niro,21256
Max von Sydow,75641
Malcolm McDowell,75641
John Leguizamo,47620
Dennis Hopper,38775
Christopher Plummer,1883
Whoopi Goldberg,2005
Harvey Keitel,2005
Whoopi Goldberg,6279
Christopher Walken,8873
Samuel L. Jackson,9869
James Earl Jones,9869
Bruce Willis,9374
Harry Dean Stanton,1923
Donald Sutherland,10206
Harvey Keitel,12143
Willem Dafoe,8374
Liam Neeson,29076
M. Emmet Walsh,27841
Keith David,2787
Bruce Willis,2069
Harvey Keitel,14839
John Carradine,42186
John Turturro,25010
Danny Trejo,2155
John Goodman,10416
Nicolas Cage,11296
Max von Sydow,72086
Bess Flowers,149687
Dennis Hopper,5693
Susan Sarandon,287
John Wayne,3114
Ward Bond,3114
Donald Sutherland,820
M. Emmet Walsh,8989
Robert Duvall,32031
Bruce Willis,918
John Goodman,18890
M. Emmet Walsh,24575
Christopher Lee,23928
Christopher Lee,11570
Susan Sarandon,1541
Harvey Keitel,1541
Donald Sutherland,8469
Samuel L. Jackson,36739
John Turturro,925
Samuel L. Jackson,925
John Turturro,41823
Samuel L. Jackson,41823
John Turturro,1713
Anthony Quinn,1713
Samuel L. Jackson,1713
Danny Trejo,26263
Bess Flowers,996
Frank Welker,1497
Harry Dean Stanton,1880
Robin Williams,801
Liam Neeson,104301
James Franco,16222
John Carradine,99008
Christopher Lee,39890
M. Emmet Walsh,26689
Frank Welker,10501
John Wayne,6644
Robin Williams,879
Christopher Lee,32613
John Wayne,17529
Dennis Hopper,17529
Robert Duvall,17529
Donald Sutherland,1793
John Hurt,11327
Charles Lane,34322
Robert Duvall,10774
Samuel L. Jackson,10479
Susan Sarandon,125709
Steve Buscemi,11305
Christopher Lloyd,11027
Steve Buscemi,10468
Willem Dafoe,1359
Stellan Skarsgård,19214
Robin Williams,26291
Bess Flowers,4825
Susan Sarandon,11654
Willem Dafoe,11654
Harvey Keitel,3536
Keith David,10564
Stellan Skarsgård,36234
Danny Trejo,12476
Christopher Lloyd,13105
Bess Flowers,18228
Bess Flowers,18642
Nicolas Cage,12518
Jackie Chan,8584
John Wayne,29372
Irving Bacon,30588
Christopher Lee,682
Bess Flowers,28974
John Wayne,40685
John Wayne,22994
John Wayne,40639
Anthony Quinn,10911
Bess Flowers,13368
M. Emmet Walsh,11368
Danny Glover,169
Robert De Niro,635
Whoopi Goldberg,35936
Whoopi Goldberg,25562
Whoopi Goldberg,51763
Whoopi Goldberg,73079
Whoopi Goldberg,38921
John Goodman,38921
Whoopi Goldberg,35463
Nicolas Cage,9679
Robert Duvall,9679
Robert Duvall,592
M. Emmet Walsh,9040
Samuel L. Jackson,479
John Leguizamo,7450
Dennis Hopper,25636
Robert De Niro,17711
John Goodman,17711
Whoopi Goldberg,17711
Christopher Walken,28774
Donald Sutherland,11598
M. Emmet Walsh,15379
Keith David,27352
Max von Sydow,24099
Christopher Plummer,24099
Whoopi Goldberg,16096
Bruce Willis,4244
Keenan Wynn,18118
Willem Dafoe,19380
Samuel L. Jackson,19380
M. Emmet Walsh,19380
John Carradine,11624
Alec Baldwin,16110
John Goodman,6282
Donald Sutherland,5551
Brian Cox,43079
Donald Sutherland,11589
Harry Dean Stanton,11589
Christopher Walken,45905
Christopher Lee,39891
Donald Sutherland,11398
Morgan Freeman,10480
Morgan Freeman,10562
Harvey Keitel,201724
Stellan Skarsgård,16
Willem Dafoe,10434
Vincent Price,26484
Keenan Wynn,39113
Vincent Price,38126
Donald Pleasence,2161
Vincent Price,3073
John Carradine,10787
Michael Caine,10461
Michael Caine,1485
Robert De Niro,1597
Keith David,641
John Hurt,10383
Jackie Chan,12207
Harvey Keitel,9678
Robert De Niro,11978
Michael Caine,11372
Donald Sutherland,11372
Robert Duvall,11372
Donald Pleasence,11372
Robert Duvall,8452
Susan Sarandon,16340
Gérard Depardieu,10481
Michael Caine,10876
Bruce Willis,9741
Samuel L. Jackson,9741
Liam Neeson,2669
Alec Baldwin,12714
Frank Welker,1857
Willem Dafoe,2604
Alec Baldwin,10132
John Goodman,40820
John Goodman,11688
Nicolas Cage,5994
Michael Caine,1493
John Turturro,134
John Goodman,134
Alec Baldwin,21991
Christopher Plummer,10577
Willem Dafoe,10873
John Wayne,11209
Christopher Walken,13715
Harvey Keitel,75490
Harry Dean Stanton,42261
Donald Sutherland,20637
Harry Dean Stanton,5955
Christopher Lloyd,125498
Alec Baldwin,2613
John Goodman,11028
Samuel L. Jackson,17159
John Turturro,71881
Michael Caine,4918
James Earl Jones,28368
Keith David,14464
Michael Caine,580
M. Emmet Walsh,34379
Stellan Skarsgård,47588
Gérard Depardieu,7093
John Turturro,44412
John Turturro,23685
Whoopi Goldberg,23685
Samuel L. Jackson,25208
Robert De Niro,2749
Max von Sydow,2428
Donald Pleasence,2428
John Wayne,2428
Michael Caine,15598
Vincent Price,17965
M. Emmet Walsh,31004
Brian Cox,11454
John Goodman,14052
Dennis Hopper,21309
John Goodman,23730
Danny Trejo,10054
Morgan Freeman,2043
Malcolm McDowell,56715
Christopher Walken,10956
John Turturro,52654
John Goodman,2144
Liam Neeson,849
Robin Williams,11307
Dennis Hopper,32924
Vincent Price,32924
John Turturro,32924
Max von Sydow,11174
Frank Welker,808
John Leguizamo,824
Alec Baldwin,676
John Turturro,29572
Harry Dean Stanton,29572
Harvey Keitel,42233
Christopher Lloyd,13554
John Wayne,17664
John Carradine,66035
Willem Dafoe,1632
John Wayne,301
Ward Bond,301
Liam Neeson,12623
Harry Dean Stanton,11090
John Leguizamo,14034
Bess Flowers,759
Michael Caine,31935
Willem Dafoe,52616
Robin Williams,644
Gérard Depardieu,11444
Alec Baldwin,10992
Susan Sarandon,10992
Alec Baldwin,8217
Jackie Chan,11286
Jackie Chan,11950
John Wayne,15875
Vincent Price,26573
Vincent Price,23439
John Wayne,11697
John Carradine,11697
Donald Pleasence,19200
John Wayne,16211
Dennis Hopper,16211
Bess Flowers,32569
Michael Caine,28430
Dennis Hopper,25690
Bess Flowers,976
Jackie Chan,11713
Donald Sutherland,2114
Alec Baldwin,2114
Steve Buscemi,2114
Keith David,2114
Robert De Niro,11371
James Earl Jones,13794
Robin Williams,14506
Danny Glover,14911
Christopher Walken,19382
Keith David,24679
Morgan Freeman,14441
Robert Duvall,10126
James Earl Jones,9602
Samuel L. Jackson,9602
M. Emmet Walsh,3980
Vincent Price,40095
Liam Neeson,10651
Michael Caine,10141
John Goodman,34053
Liam Neeson,21362
Christopher Walken,13482
Willem Dafoe,38617
Keith David,38617
Liam Neeson,17126
Bruce Willis,38560
Malcolm McDowell,38560
M. Emmet Walsh,38560
Susan Sarandon,50203
Whoopi Goldberg,91445
Keith David,8337
Christopher Lloyd,41974
Michael Caine,12582
John Goodman,11352
Keith David,11352
Eric Roberts,32049
John Leguizamo,10142
Harry Dean Stanton,15142
Christopher Lloyd,14550
Donald Sutherland,32075
Susan Sarandon,32075
Alec Baldwin,11465
Steve Buscemi,55059
Whoopi Goldberg,46786
Bruce Willis,32855
Robert De Niro,39787
Susan Sarandon,32059
Harvey Keitel,32059
Morgan Freeman,505
Morgan Freeman,14621
Donald Sutherland,9972
Danny Trejo,9972
Bruce Willis,9494
Steve Buscemi,9686
Liam Neeson,27418
M. Emmet Walsh,12663
Christopher Walken,11467
Steve Buscemi,1548
Christopher Lee,41946
Keith David,10135
Eric Roberts,24254
John Hurt,32261
John Goodman,12150
Samuel L. Jackson,12150
Steve Buscemi,49788
James Earl Jones,31608
Nicolas Cage,7091
Nicolas Cage,2148
Jackie Chan,5175
John Wayne,11385
John Wayne,12584
John Carradine,12584
Harvey Keitel,33214
Jackie Chan,19267
Nicolas Cage,1722
John Hurt,1722
Whoopi Goldberg,9896
Stellan Skarsgård,26665
Danny Trejo,9683
Christopher Lee,16307
Brian Cox,18734
Stellan Skarsgård,2176
Liam Neeson,32567
Keenan Wynn,33725
Charles Lane,11576
Bess Flowers,248
Dennis Hopper,40885
M. Emmet Walsh,12502
John Carradine,40220
Morgan Freeman,1623
M. Emmet Walsh,1623
Gérard Depardieu,1716
Christopher Walken,20681
Bruce Willis,3172
John Goodman,25641
John Wayne,27396
Steve Buscemi,11456
John Goodman,585
Steve Buscemi,585
John Leguizamo,140511
John Hurt,671
Keith David,20794
Anthony Quinn,23847
Donald Pleasence,27405
Bess Flowers,32847
Anthony Quinn,43510
Michael Caine,34388
Michael Caine,11033
Samuel L. Jackson,37835
Bruce Willis,28614
Max von Sydow,3604
Christopher Lee,42566
John Turturro,31945
Christopher Walken,19076
Brian Cox,19076
Robin Williams,23111
Danny Glover,9428
Alec Baldwin,9428
Michael Caine,35201
Frank Welker,12589
Christopher Lee,120
Christopher Plummer,453
Bess Flowers,37257
John Goodman,77985
Michael Caine,26686
Ward Bond,61934
James Earl Jones,27273
M. Emmet Walsh,11888
Christopher Walken,15050
Donald Sutherland,651
Robert Duvall,651
John Goodman,16550
Robert De Niro,52744
Harvey Keitel,52744
Gérard Depardieu,4267
Gérard Depardieu,4031
Anthony Quinn,11594
John Turturro,9884
John Leguizamo,9884
Christopher Walken,27593
John Carradine,32484
James Earl Jones,11528
Donald Sutherland,931
Bruce Willis,10592
Robert Duvall,8470
Brian Cox,39939
Michael Caine,14778
Bess Flowers,32499
John Wayne,8737
Michael Caine,993
Max von Sydow,614
Malcolm McDowell,115332
Robin Williams,13225
Keenan Wynn,18646
Bess Flowers,18646
John Hurt,31651
Brian Cox,47869
Christopher Walken,10935
John Hurt,10935
Willem Dafoe,10935
Michael Caine,7988
Anthony Quinn,26843
Gérard Depardieu,39543
Vincent Price,39578
Donald Pleasence,39578
John Carradine,39578
Harvey Keitel,3418
Harry Dean Stanton,3418
Max von Sydow,3418
Donald Pleasence,24032
John Leguizamo,425
Robert De Niro,5851
Anthony Quinn,24248
Anthony Quinn,14605
Anthony Quinn,31805
Anthony Quinn,13861
Christopher Lee,41034
Jackie Chan,11563
Robin Williams,9275
Brian Cox,14635
John Carradine,22784
John Goodman,5678
Morgan Freeman,11560
Christopher Plummer,35944
