id_director,name
7145,Michael Lehmann
12988,Paul Michael Glaser
42171,Jonathan Kaplan
78188,Whit Stillman
68687,Bill Forsyth
4610,John Landis
1901,Caroline Thompson
2042,Stephen Hopkins
32765,Tony Richardson
14800,Jennifer Chambers Lynch
380,Robert De Niro
57107,Adam Resnick
61175,John Whitesell
1150,Brian De Palma
66548,Paul Weiland
8843,Mick Jackson
18308,Steve Barron
21806,Richard Rush
12964,Michael Ritchie
27236,Gregg Champion
58838,Marco Brambilla
1895,Carl Reiner
20640,Chen Kaige
2690,Peter Weir
50949,Alek Keshishian
10967,Steve Kloves
17784,John Irvin
18254,Simon Wincer
52358,Boaz Yakin
172993,Rose Troche
5696,Bruce Beresford
39996,Sidney Lumet
12936,Jim Abrahams
94996,Julianna Lavin
65859,Christopher Monger
19684,Bille August
77733,Eric Meza
1223,Joel Coen
3388,James L. Brooks
774,"Daniel Petrie, Jr."
53334,Jim Sheridan
230059,Matty Rich
488,Steven Spielberg
58498,Dominic Sena
8297,Roger Avary
40549,Daniel Petrie
90037,James Lapine
57147,Paul Hogan
71192,Greg Coote
224,David Cronenberg
2523,Stuart Baird
46230,Nagisa Ōshima
119232,Tom Noonan
2239,Anthony Minghella
65452,Mike Leigh
16939,Michael Tolkin
57206,Sally Potter
16294,Jonathan Demme
10757,Jane Campion
29482,Stuart Orme
141450,Mel Smith
14911,Penny Marshall
648,Philip Kaufman
9168,Alan Parker
44056,Fred Dekker
21377,Peter Medak
65026,Geoffrey Wright
138322,Victor Nunez
15858,Tim Hunter
127283,Cyril Collard
2260,Steven Zaillian
8969,Chris Menges
10367,John Waters
52968,Russell Mulcahy
4786,Richard Attenborough
33405,Gillies MacKinnon
54590,Steve Rash
63943,Rowdy Herrington
111687,Arthur Joffé
58164,Annabel Jankel
58165,Rocky Morton
45645,Deran Sarafian
78012,François Girard
41549,Andrew Fleming
57646,Henry Selick
16566,George P. Cosmatos
53387,Heywood Gould
21113,D.A. Pennebaker
115891,Chris Hegedus
74299,Pixote Hunt
1164376,Maurice Hunt
1212571,Jerry Ciccoritti
70241,Jennifer Warren
85547,Mark Malone
66605,Todd Solondz
20718,Claude Berri
2778,Dennis Hopper
10828,Guillermo del Toro
69696,Daniel Algrant
309,Pedro Almodóvar
6220,Gurinder Chadha
3030,Andrew Scheinman
91565,Åke Sandgren
1006705,Eva Sereny
26265,Lina Wertmüller
1354907,Rémy Duchemin
1174031,George T. Miller
105114,Ricky Tognazzi
67756,Michael Austin
109402,Rob Epstein
109403,Jeffrey Friedman
69488,Nanni Moretti
1066960,María Luisa Bemberg
31024,Betty Thomas
15810,Ron Clements
15811,John Musker
1269,Kevin Costner
589306,Steve Cohen
5446,David Hand
62047,Gary Trousdale
62048,Kirk Wise
11429,Hamilton Luske
11426,Ben Sharpsteen
125340,Yuri Mamin
7767,Sam Peckinpah
78258,C.M. Talkington
134026,Huang Jianxin
54967,Sam Weisman
15557,Bill Condon
116607,Stephen Poliakoff
4755,David R. Ellis
70616,Gerald Potterton
176246,Kevin Yagher
55116,Joe Chappelle
32278,Matt Reeves
24657,Franco Zeffirelli
75474,Anna Campion
49552,Franco Brusati
57314,Wolfgang Reitherman
37526,Fernando Trueba
116103,Bill Couturié
6818,Werner Herzog
96627,André Téchiné
54767,Mika Kaurismäki
1044284,Férid Boughedir
78029,Martin Lawrence
72619,Stacy Title
17812,Gregory Hoblit
69719,Bruno Barreto
71852,Paul Sabella
952327,Larry Leker
974388,Hal Salwen
70835,Jonathan R. Betuel
73496,Richard Pearce
230320,Todd Verow
21217,Jonathan Lynn
20773,Tim Sullivan
34682,Jeremiah S. Chechik
69537,Hervé Palud
43440,Martin Enlen
68998,Carlo Rola
20789,Claude Sautet
6759,Friðrik Þór Friðriksson
2182,Pen Densham
1869,Sönke Wortmann
105617,Park Chul-soo
18878,Rob Cohen
14614,Joseph Vilsmaier
26595,Michael Verhoeven
80526,Gray Hofmeyr
559920,Richard Wherrett
9740,René Clément
4173,Anthony Hopkins
47773,Paul Mazursky
15254,Emir Kusturica
96934,Bo Widerberg
115983,Alan Mehrez
12160,Satyajit Ray
30021,Jim Mallon
23677,Joe Pytka
53767,Roger Vadim
98940,Catherine Cyran
98094,Brett Piper
37852,George Hickenlooper
3776,Jean-Luc Godard
20556,Bertrand Tavernier
3097,Gordon Willis
8876,Randal Kleiser
1080036,Michael Blakemore
39298,Margarethe von Trotta
104404,Norberto Barba
43786,Robert Mandel
1046169,Pat Verducci
172,Michael Winterbottom
73838,Steven Baigelman
42113,Zalman King
1661328,Barry Caillier
56059,Patrick Read Johnson
81964,Stijn Coninx
11147,John Cassavetes
129708,Stacy Cochran
15111,Jean-Claude Van Damme
59438,Mark Joffe
104507,Steve Gomer
71792,George Scribner
1175207,Tom DeCerchio
129941,Alan Shapiro
1016352,Angela Pope
1585647,Betty Kaplan
4429,Jim Jarmusch
25950,Jean-Paul Rappeneau
31310,Jack Hill 
108499,Manuel Gómez Pereira
64909,Jean-Marie Poiré
940684,Brett Thompson
1093108,Francesco Sframeli
1093110,Spiro Scimone
124237,Stephen Quay
124238,Timothy Quay
18500,Phil Joanou
19266,Larry Cohen
29706,Harvey Miller
87680,Michele Soavi
70792,David Hogan
16988,Maurice Pialat
564791,Gabriel Barylli
12180,Mamoru Oshii
64796,Tom Holland
65548,Rick Friedberg
145304,Udayan Prasad
7314,Nick Park
81976,Abraham Polonsky
28239,David Twohy
93906,Robert Z. Leonard
240,Stanley Kubrick
97579,Guy Maddin
153908,John O'Brien
114468,Kevin James Dobson
14860,Victor Saville
1090082,Helena Solberg
1209349,Ebrahim Forouzesh
229695,David Keating
366,James Mangold
1776,Francis Ford Coppola
16378,Mary Harron
122728,Charles Matthau
1009298,Goran Paskaljević
1184422,Mwezé Ngangura
24409,Benoît Lamy
1079380,Djibril Diop Mambéty
1153142,Gaston Kaboré
4415,Federico Fellini
21415,Robby Henson
1214396,Scott Winant
592762,Lucian Pintilie
41521,Gérard Mordillat
262130,Mel Chionglo
1144694,Christopher Larkin
138795,Laurent Heynemann  
18320,Bronwen Hughes
56539,Nicole Holofcener
28615,Éric Rohmer
66076,Fraser Clarke Heston
40230,Kevin Hooks
1059880,Ildikó Enyedi
2357,Howard Franklin
30869,Mitch Marcus
1046588,Jaime Hellman
14132,Nicolas Roeg
15042,Arlene Sanford
225140,Maurizio Nichetti
87397,Paul Turner
56201,Peter Sehr
1870,Gernot Roll
48685,Rolf Silber
6258,Peter Weck
81749,Manoel de Oliveira
71110,John Payson
28904,Hugh Wilson
179609,Nigel Finch
7678,Hart Bochner
183036,Doug Ellin
119310,Annette Haywood-Carter
518,Danny DeVito
32983,Douglas McGrath
65602,Tim Pope
92554,Harry Winer
37302,Georges Franju
10953,Gilbert Adler
1189125,Yin Li
146295,Yim Ho
117808,Marcus DeLeon
1232954,Lee David Zlotoff
107730,Tran Anh Hung
7482,Julian Schnabel
112674,Rolf de Heer
587603,Keisuke Kinoshita
24485,Nicole Garcia
252740,Leone Pompucci
124092,Lisa Krueger
125690,Mikio Naruse
9340,Lana Wachowski
9339,Lilly Wachowski
133259,Arthur Hiller
1155073,John Ruane
1276348,Peter Shaner
71174,Tsai Ming-liang
64219,Daniel Schmid
69042,Tim Metcalfe
232119,Izidore K. Musallam
205639,Jim McKay
118513,Karim Dridi
13776,John Frankenheimer
42175,Richard Stanley
69741,David M. Evans
508,David Koepp
17046,Gary Winick
6361,Nick Hamm
24346,Roy Allen Smith
28889,Theo van Gogh
98750,Trevor Nunn
33054,Keith Gordon
14353,Max Ophüls
587971,Jan Jakub Kolski
10790,Sam Wood
14674,George Cukor
13284,Stanley Donen
13294,Gene Kelly
13980,Vincente Minnelli
1927,Blake Edwards
2636,Alfred Hitchcock
2662,Frank Capra
30165,Mark Sandrich
3146,Billy Wilder
4109,Michael Curtiz
6593,John Huston
10001,William Wyler
80570,Walter Lang
9049,Victor Fleming
40,Orson Welles
108914,Mitchell Leisen
10601,Joseph L. Mankiewicz
30008,Leo McCarey
2428,Ernst Lubitsch
67426,William Keighley
29595,Rouben Mamoulian
834,Otto Preminger
74659,Gregory La Cava
18738,George Stevens
2746,Elia Kazan
32427,W.S. Van Dyke
11435,Howard Hawks
20412,Michael Anderson
8741,Victor Sjöström
14643,William A. Wellman
31497,John Cromwell
81165,Archie Mayo
95293,Busby Berkeley
33064,Henry Koster
50302,James Edward Grant
2000,Lewis Milestone
13348,Howard Hughes
14999,George A. Romero
